ChemicalName,ChemicalID,DiseaseName,DiseaseID,DirectEvidence,InferenceGeneSymbol,InferenceScore
06-Paris-LA-66 protocol,C046983,Precursor Cell Lymphoblastic Leukemia-Lymphoma,MESH:D054198,therapeutic,,
10074-G5,C534883,Adenocarcinoma,MESH:D000230,,MYC,4.07
10074-G5,C534883,Adenocarcinoma of Lung,MESH:D000077192,,MYC,4.3
10074-G5,C534883,Alopecia,MESH:D000505,,AR,4.5
10074-G5,C534883,Androgen-Insensitivity Syndrome,MESH:D013734,,AR,6.87
10074-G5,C534883,Astrocytoma,MESH:D001254,,AR,4.94
10074-G5,C534883,Autistic Disorder,MESH:D001321,,AR,3.93
10074-G5,C534883,Breast Neoplasms,MESH:D001943,,AR,3.42
10074-G5,C534883,"Breast Neoplasms, Male",MESH:D018567,,AR,5.89
10074-G5,C534883,"Bulbospinal neuronopathy, X-linked recessive",MESH:C537017,,AR,6.87
10074-G5,C534883,Burkitt Lymphoma,MESH:D002051,,MYC,5.11
10074-G5,C534883,Carcinoma,MESH:D002277,,MYC,4.09
10074-G5,C534883,"Carcinoma, Ductal",MESH:D044584,,MYC,5.59
10074-G5,C534883,"Carcinoma, Hepatocellular",MESH:D006528,,AR,7.48
10074-G5,C534883,"Carcinoma, Hepatocellular",MESH:D006528,,MYC,7.48
10074-G5,C534883,"Carcinoma, Merkel Cell",MESH:D015266,,MYC,6.14
10074-G5,C534883,"Carcinoma, Non-Small-Cell Lung",MESH:D002289,,MYC,4.19
10074-G5,C534883,"Carcinoma, Squamous Cell",MESH:D002294,,MYC,4.21
10074-G5,C534883,"Cardiomyopathy, Hypertrophic",MESH:D002312,,MYC,4.75
10074-G5,C534883,"Cell Transformation, Neoplastic",MESH:D002471,,MYC,3.99
10074-G5,C534883,Chromosome Breakage,MESH:D019457,,MYC,4.28
10074-G5,C534883,Cleft Lip,MESH:D002971,,MYC,5.03
10074-G5,C534883,Cleft Palate,MESH:D002972,,MYC,4.61
10074-G5,C534883,Colonic Neoplasms,MESH:D003110,,MYC,3.99
10074-G5,C534883,Colorectal Neoplasms,MESH:D015179,,MYC,3.91
10074-G5,C534883,"Diabetes, Gestational",MESH:D016640,,AR,5.06
10074-G5,C534883,"Disease Models, Animal",MESH:D004195,,MYC,3.83
10074-G5,C534883,Disease Progression,MESH:D018450,,MYC,4.11
10074-G5,C534883,Endometrial Neoplasms,MESH:D016889,,MYC,4.54
10074-G5,C534883,Ependymoma,MESH:D004806,,EPHB2,6.61
10074-G5,C534883,Fatty Liver,MESH:D005234,,MYC,3.88
10074-G5,C534883,"Genital Diseases, Male",MESH:D005832,,AR,5.02
10074-G5,C534883,Glioblastoma,MESH:D005909,,MYC,4.4
10074-G5,C534883,Hemangiosarcoma,MESH:D006394,,MYC,4.97
10074-G5,C534883,Hypertension,MESH:D006973,,AR,3.39
10074-G5,C534883,"Hypertrophy, Left Ventricular",MESH:D017379,,MYC,4.47
10074-G5,C534883,"Hypospadias 1, X-Linked",MESH:C567482,,AR,6.87
