DiseaseName,DiseaseID,PathwayName,PathwayID,InferenceGeneSymbol
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Androgen biosynthesis,REACT:R-HSA-193048,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Fatty Acyl-CoA Biosynthesis,REACT:R-HSA-75105,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Metabolic pathways,KEGG:hsa01100,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Metabolism,REACT:R-HSA-1430728,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Metabolism of steroid hormones,REACT:R-HSA-196071,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Steroid hormone biosynthesis,KEGG:hsa00140,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Synthesis of very long-chain fatty acyl-CoAs,REACT:R-HSA-75876,HSD17B3
17-Hydroxysteroid Dehydrogenase Deficiency,MESH:C537805,Triglyceride Biosynthesis,REACT:R-HSA-75109,HSD17B3
18-Hydroxylase deficiency,MESH:C537806,Aldosterone synthesis and secretion,KEGG:hsa04925,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Biological oxidations,REACT:R-HSA-211859,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,"C21-Steroid hormone biosynthesis, progesterone => corticosterone/aldosterone",KEGG:hsa_M00108,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,"C21-Steroid hormone biosynthesis, progesterone => cortisol/cortisone",KEGG:hsa_M00109,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Cytochrome P450 - arranged by substrate type,REACT:R-HSA-211897,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Endogenous sterols,REACT:R-HSA-211976,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Glucocorticoid biosynthesis,REACT:R-HSA-194002,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Metabolic pathways,KEGG:hsa01100,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Metabolism,REACT:R-HSA-1430728,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Metabolism of steroid hormones,REACT:R-HSA-196071,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Mineralocorticoid biosynthesis,REACT:R-HSA-193993,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Phase 1 - Functionalization of compounds,REACT:R-HSA-211945,CYP11B2
18-Hydroxylase deficiency,MESH:C537806,Steroid hormone biosynthesis,KEGG:hsa00140,CYP11B2
22q11 Deletion Syndrome,MESH:D058165,Activated point mutants of FGFR2,REACT:R-HSA-2033519,FGF8
22q11 Deletion Syndrome,MESH:D058165,Adaptive Immune System,REACT:R-HSA-1280218,FGF8
22q11 Deletion Syndrome,MESH:D058165,ARMS-mediated activation,REACT:R-HSA-170984,FGF8
22q11 Deletion Syndrome,MESH:D058165,Axon guidance,REACT:R-HSA-422475,FGF8
22q11 Deletion Syndrome,MESH:D058165,Breast cancer,KEGG:hsa05224,FGF8
22q11 Deletion Syndrome,MESH:D058165,Constitutive Signaling by Aberrant PI3K in Cancer,REACT:R-HSA-2219530,FGF8
22q11 Deletion Syndrome,MESH:D058165,Cytokine Signaling in Immune system,REACT:R-HSA-1280215,FGF8
22q11 Deletion Syndrome,MESH:D058165,DAP12 interactions,REACT:R-HSA-2172127,FGF8
22q11 Deletion Syndrome,MESH:D058165,DAP12 signaling,REACT:R-HSA-2424491,FGF8
22q11 Deletion Syndrome,MESH:D058165,Developmental Biology,REACT:R-HSA-1266738,FGF8
22q11 Deletion Syndrome,MESH:D058165,Disease,REACT:R-HSA-1643685,FGF8
22q11 Deletion Syndrome,MESH:D058165,Diseases of signal transduction,REACT:R-HSA-5663202,FGF8
22q11 Deletion Syndrome,MESH:D058165,Downstream signaling events of B Cell Receptor (BCR),REACT:R-HSA-1168372,FGF8
22q11 Deletion Syndrome,MESH:D058165,Downstream signaling of activated FGFR1,REACT:R-HSA-5654687,FGF8
22q11 Deletion Syndrome,MESH:D058165,Downstream signaling of activated FGFR2,REACT:R-HSA-5654696,FGF8
22q11 Deletion Syndrome,MESH:D058165,Downstream signaling of activated FGFR3,REACT:R-HSA-5654708,FGF8
22q11 Deletion Syndrome,MESH:D058165,Downstream signaling of activated FGFR4,REACT:R-HSA-5654716,FGF8
22q11 Deletion Syndrome,MESH:D058165,Downstream signal transduction,REACT:R-HSA-186763,FGF8
22q11 Deletion Syndrome,MESH:D058165,Fc epsilon receptor (FCERI) signaling,REACT:R-HSA-2454202,FGF8
22q11 Deletion Syndrome,MESH:D058165,FCERI mediated MAPK activation,REACT:R-HSA-2871796,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR1c ligand binding and activation,REACT:R-HSA-190373,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR1 ligand binding and activation,REACT:R-HSA-190242,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR1 mutant receptor activation,REACT:R-HSA-1839124,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR2c ligand binding and activation,REACT:R-HSA-190375,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR2 ligand binding and activation,REACT:R-HSA-190241,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR2 mutant receptor activation,REACT:R-HSA-1839126,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR3b ligand binding and activation,REACT:R-HSA-190371,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR3c ligand binding and activation,REACT:R-HSA-190372,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR3 ligand binding and activation,REACT:R-HSA-190239,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR3 mutant receptor activation,REACT:R-HSA-2033514,FGF8
22q11 Deletion Syndrome,MESH:D058165,FGFR4 ligand binding and activation,REACT:R-HSA-190322,FGF8
