GeneSymbol,GeneID,DiseaseName,DiseaseID,DirectEvidence,InferenceChemicalName,InferenceScore
11-BETA-HSD3,100174880,"Abnormalities, Drug-Induced",MESH:D000014,,Endocrine Disruptors,5.22
11-BETA-HSD3,100174880,Amyotrophic Lateral Sclerosis,MESH:D000690,,"Water Pollutants, Chemical",4.77
11-BETA-HSD3,100174880,Anemia,MESH:D000740,,"Water Pollutants, Chemical",4.3
11-BETA-HSD3,100174880,"Anemia, Hemolytic",MESH:D000743,,"Water Pollutants, Chemical",4.6
11-BETA-HSD3,100174880,Asthenozoospermia,MESH:D053627,,"Water Pollutants, Chemical",5.07
11-BETA-HSD3,100174880,Birth Weight,MESH:D001724,,Endocrine Disruptors,12.25
11-BETA-HSD3,100174880,Birth Weight,MESH:D001724,,"Water Pollutants, Chemical",12.25
11-BETA-HSD3,100174880,Body Weight,MESH:D001835,,"Water Pollutants, Chemical",5.19
11-BETA-HSD3,100174880,Breast Neoplasms,MESH:D001943,,Endocrine Disruptors,8.82
11-BETA-HSD3,100174880,Breast Neoplasms,MESH:D001943,,"Water Pollutants, Chemical",8.82
11-BETA-HSD3,100174880,"Cell Transformation, Neoplastic",MESH:D002471,,"Water Pollutants, Chemical",4.26
11-BETA-HSD3,100174880,Chromosome Aberrations,MESH:D002869,,"Water Pollutants, Chemical",4.67
11-BETA-HSD3,100174880,Death,MESH:D003643,,"Water Pollutants, Chemical",4.73
11-BETA-HSD3,100174880,"Dermatitis, Irritant",MESH:D017453,,"Water Pollutants, Chemical",5.27
11-BETA-HSD3,100174880,Disorders of Sex Development,MESH:D012734,,Endocrine Disruptors,14.22
11-BETA-HSD3,100174880,Disorders of Sex Development,MESH:D012734,,"Water Pollutants, Chemical",14.22
11-BETA-HSD3,100174880,Dizziness,MESH:D004244,,"Water Pollutants, Chemical",4.36
11-BETA-HSD3,100174880,Esophageal Neoplasms,MESH:D004938,,"Water Pollutants, Chemical",4.71
11-BETA-HSD3,100174880,Eye Pain,MESH:D058447,,"Water Pollutants, Chemical",6.07
11-BETA-HSD3,100174880,Fatty Liver,MESH:D005234,,"Water Pollutants, Chemical",4.15
11-BETA-HSD3,100174880,Fetal Death,MESH:D005313,,Endocrine Disruptors,5.8
11-BETA-HSD3,100174880,Headache,MESH:D006261,,"Water Pollutants, Chemical",4.16
11-BETA-HSD3,100174880,Hodgkin Disease,MESH:D006689,,"Water Pollutants, Chemical",4.96
11-BETA-HSD3,100174880,Hypokinesia,MESH:D018476,,"Water Pollutants, Chemical",4.65
11-BETA-HSD3,100174880,Immune System Diseases,MESH:D007154,,"Water Pollutants, Chemical",5.16
11-BETA-HSD3,100174880,Infertility,MESH:D007246,,"Water Pollutants, Chemical",4.9
11-BETA-HSD3,100174880,"Infertility, Female",MESH:D007247,,Endocrine Disruptors,5.64
11-BETA-HSD3,100174880,"Infertility, Male",MESH:D007248,,Endocrine Disruptors,5.4
11-BETA-HSD3,100174880,Inflammation,MESH:D007249,,"Water Pollutants, Chemical",3.84
11-BETA-HSD3,100174880,Kidney Diseases,MESH:D007674,,"Water Pollutants, Chemical",3.8
11-BETA-HSD3,100174880,Kidney Neoplasms,MESH:D007680,,"Water Pollutants, Chemical",4.68
11-BETA-HSD3,100174880,Leukopenia,MESH:D007970,,"Water Pollutants, Chemical",4.61
11-BETA-HSD3,100174880,Liver Neoplasms,MESH:D008113,,"Water Pollutants, Chemical",4.1
11-BETA-HSD3,100174880,Lymphocytosis,MESH:D008218,,"Water Pollutants, Chemical",6.02
11-BETA-HSD3,100174880,Mercury Poisoning,MESH:D008630,,"Water Pollutants, Chemical",5.67
11-BETA-HSD3,100174880,"Micronuclei, Chromosome-Defective",MESH:D048629,,"Water Pollutants, Chemical",4.4
11-BETA-HSD3,100174880,Multiple Myeloma,MESH:D009101,,"Water Pollutants, Chemical",4.69
11-BETA-HSD3,100174880,Neoplasms,MESH:D009369,,"Water Pollutants, Chemical",4.14
11-BETA-HSD3,100174880,Neutropenia,MESH:D009503,,"Water Pollutants, Chemical",4.5
11-BETA-HSD3,100174880,Obesity,MESH:D009765,,"Water Pollutants, Chemical",4.24
11-BETA-HSD3,100174880,Parkinson Disease,MESH:D010300,,"Water Pollutants, Chemical",4.38
11-BETA-HSD3,100174880,Pharyngitis,MESH:D010612,,"Water Pollutants, Chemical",5.59
11-BETA-HSD3,100174880,Poisoning,MESH:D011041,,"Water Pollutants, Chemical",4.14
11-BETA-HSD3,100174880,Premature Birth,MESH:D047928,,"Water Pollutants, Chemical",4.93
11-BETA-HSD3,100174880,Prenatal Exposure Delayed Effects,MESH:D011297,,Endocrine Disruptors,4.98
11-BETA-HSD3,100174880,Prostatic Diseases,MESH:D011469,,Endocrine Disruptors,6.07
11-BETA-HSD3,100174880,"Puberty, Delayed",MESH:D011628,,Endocrine Disruptors,6.32
11-BETA-HSD3,100174880,"Puberty, Precocious",MESH:D011629,,"Water Pollutants, Chemical",5.37
11-BETA-HSD3,100174880,Testicular Diseases,MESH:D013733,,"Water Pollutants, Chemical",4.47
11-BETA-HSD3,100174880,Uterine Anomalies,MESH:C562565,,Endocrine Disruptors,7.19
11-BETA-HSD3,100174880,Uterine Cervical Neoplasms,MESH:D002583,,"Water Pollutants, Chemical",5.0
11-BETA-HSD3,100174880,Weight Gain,MESH:D015430,,Endocrine Disruptors,4.94
11-BETA-HSD3,100174880,Weight Loss,MESH:D015431,,"Water Pollutants, Chemical",3.86
128UP,36288,Arsenic Poisoning,MESH:D020261,,zinc chloride,5.14
128UP,36288,Chemical and Drug Induced Liver Injury,MESH:D056486,,zinc chloride,3.63
128UP,36288,Depressive Disorder,MESH:D003866,,zinc chloride,4.36
128UP,36288,Mercury Poisoning,MESH:D008630,,zinc chloride,5.87
128UP,36288,Necrosis,MESH:D009336,,zinc chloride,4.0
128UP,36288,Neoplasms,MESH:D009369,,zinc chloride,4.34
128UP,36288,Nociceptive Pain,MESH:D059226,,zinc chloride,5.43
128UP,36288,Prenatal Injuries,MESH:D049188,,zinc chloride,4.83
128UP,36288,Proteinuria,MESH:D011507,,zinc chloride,4.47
128UP,36288,Weight Loss,MESH:D015431,,zinc chloride,4.06
14-3-3EPSILON,42186,Prenatal Injuries,MESH:D049188,,fenoxycarb,5.02
14-3-3ZETA,36059,Alcohol-Related Disorders,MESH:D019973,,lead acetate,5.15
14-3-3ZETA,36059,Anxiety Disorders,MESH:D001008,,lead acetate,9.25
14-3-3ZETA,36059,Anxiety Disorders,MESH:D001008,,Pentylenetetrazole,9.25
14-3-3ZETA,36059,Ataxia,MESH:D001259,,lead acetate,3.72
14-3-3ZETA,36059,Autoimmune Diseases,MESH:D001327,,lead acetate,4.23
14-3-3ZETA,36059,Bone Diseases,MESH:D001847,,lead acetate,4.49
14-3-3ZETA,36059,"Bone Diseases, Metabolic",MESH:D001851,,lead acetate,4.62
14-3-3ZETA,36059,Brain Diseases,MESH:D001927,,lead acetate,3.74
14-3-3ZETA,36059,Brain Edema,MESH:D001929,,lead acetate,4.17
14-3-3ZETA,36059,Brain Injuries,MESH:D001930,,lead acetate,9.32
14-3-3ZETA,36059,Brain Injuries,MESH:D001930,,Pentylenetetrazole,9.32
14-3-3ZETA,36059,Cardiomyopathies,MESH:D009202,,lead acetate,3.57
14-3-3ZETA,36059,"Cell Transformation, Neoplastic",MESH:D002471,,lead acetate,3.58
14-3-3ZETA,36059,Chemical and Drug Induced Liver Injury,MESH:D056486,,lead acetate,2.76
14-3-3ZETA,36059,Cognition Disorders,MESH:D003072,,lead acetate,8.94
14-3-3ZETA,36059,Cognition Disorders,MESH:D003072,,Pentylenetetrazole,8.94
14-3-3ZETA,36059,"Congenital, Hereditary, and Neonatal Diseases and Abnormalities",MESH:D009358,,lead acetate,5.18
14-3-3ZETA,36059,Craniofacial Abnormalities,MESH:D019465,,lead acetate,3.73
