ChemicalName,ChemicalID,GeneSymbol,GeneID
A1BG,1,Hemostasis,REACT:R-HSA-109582
A1BG,1,Immune System,REACT:R-HSA-168256
A1BG,1,Innate Immune System,REACT:R-HSA-168249
A1BG,1,Neutrophil degranulation,REACT:R-HSA-6798695
A1BG,1,"Platelet activation, signaling and aggregation",REACT:R-HSA-76002
A1BG,1,Platelet degranulation,REACT:R-HSA-114608
A1BG,1,Response to elevated platelet cytosolic Ca2+,REACT:R-HSA-76005
A1CF,29974,Formation of the Editosome,REACT:R-HSA-75094
A1CF,29974,Gene Expression,REACT:R-HSA-74160
A1CF,29974,mRNA Editing,REACT:R-HSA-75072
A1CF,29974,mRNA Editing: C to U Conversion,REACT:R-HSA-72200
A2M,2,Complement and coagulation cascades,KEGG:hsa04610
A2M,2,Degradation of the extracellular matrix,REACT:R-HSA-1474228
A2M,2,Extracellular matrix organization,REACT:R-HSA-1474244
A2M,2,Formation of Fibrin Clot (Clotting Cascade),REACT:R-HSA-140877
A2M,2,HDL-mediated lipid transport,REACT:R-HSA-194223
A2M,2,Hemostasis,REACT:R-HSA-109582
A2M,2,Intrinsic Pathway of Fibrin Clot Formation,REACT:R-HSA-140837
A2M,2,"Lipid digestion, mobilization, and transport",REACT:R-HSA-73923
A2M,2,Lipoprotein metabolism,REACT:R-HSA-174824
A2M,2,Metabolism,REACT:R-HSA-1430728
A2M,2,Metabolism of lipids and lipoproteins,REACT:R-HSA-556833
A2M,2,"Platelet activation, signaling and aggregation",REACT:R-HSA-76002
A2M,2,Platelet degranulation,REACT:R-HSA-114608
A2M,2,Response to elevated platelet cytosolic Ca2+,REACT:R-HSA-76005
A2M,2,Rho GTPase cycle,REACT:R-HSA-194840
A2M,2,Signaling by Rho GTPases,REACT:R-HSA-194315
A2M,2,Signal Transduction,REACT:R-HSA-162582
A3GALT2,127550,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG:hsa00603
A4GALT,53947,Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG:hsa00603
A4GALT,53947,"Glycosphingolipid biosynthesis, globo-series, LacCer => Gb4Cer",KEGG:hsa_M00068
A4GALT,53947,Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG:hsa00601
A4GALT,53947,Metabolic pathways,KEGG:hsa01100
A4GNT,51146,Metabolism of proteins,REACT:R-HSA-392499
