GOName,GOID,DiseaseName,DiseaseID,InferenceChemicalQty,InferenceChemicalNames,InferenceGeneQty,InferenceGeneSymbols
10-formyltetrahydrofolate biosynthetic process,GO:0009257,Abruptio Placentae,MESH:D000037,0,,1,MTHFD1
10-formyltetrahydrofolate biosynthetic process,GO:0009257,"Neural tube defect, folate-sensitive",MESH:C536409,0,,1,MTHFD1
10-formyltetrahydrofolate biosynthetic process,GO:0009257,Neural Tube Defects,MESH:D009436,0,,1,MTHFD1
10-formyltetrahydrofolate catabolic process,GO:0009258,Autism Spectrum Disorder,MESH:D000067877,0,,1,ALDH1L1
10-formyltetrahydrofolate catabolic process,GO:0009258,Chemical and Drug Induced Liver Injury,MESH:D056486,0,,1,ALDH1L2
10-formyltetrahydrofolate catabolic process,GO:0009258,Hypoxia,MESH:D000860,0,,1,ALDH1L1
10-formyltetrahydrofolate catabolic process,GO:0009258,"Liver Cirrhosis, Experimental",MESH:D008106,0,,2,ALDH1L1|ALDH1L2
10-formyltetrahydrofolate catabolic process,GO:0009258,Obesity,MESH:D009765,0,,1,ALDH1L1
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Abnormalities, Drug-Induced",MESH:D000014,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Acute Kidney Injury,MESH:D058186,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Alcoholism,MESH:D000437,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Alkalosis,MESH:D000471,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Amyotrophic Lateral Sclerosis,MESH:D000690,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Anemia,MESH:D000740,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Angina Pectoris,MESH:D000787,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Arrhythmias, Cardiac",MESH:D001145,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Atrial Fibrillation,MESH:D001281,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Atrioventricular Block,MESH:D054537,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Basal Ganglia Diseases,MESH:D001480,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Bone Diseases,MESH:D001847,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Bradycardia,MESH:D001919,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,Brain Ischemia,MESH:D002545,1,Calcium,0,
"1,2-diacyl-sn-glycero-3-phosphocholine metabolic process",GO:0006653,"Carcinoma, Hepatocellular",MESH:D006528,0,,1,LRAT
