ChemicalName,ChemicalID,GeneSymbol,GeneID,GeneForms,Organism,OrganismID,Interaction,InteractionActions
10074-G5,C534883,,AR,367,protein,Homo sapiens,9606.0,10074-G5 affects the reaction [MYC protein results in increased expression of AR protein]
10074-G5,C534883,,AR,367,protein,Homo sapiens,9606.0,10074-G5 inhibits the reaction [EPHB2 protein modified form results in increased expression of AR protein]
10074-G5,C534883,,AR,367,protein,Homo sapiens,9606.0,10074-G5 results in decreased expression of AR protein
10074-G5,C534883,,AR,367,protein,Homo sapiens,9606.0,10074-G5 results in decreased expression of AR protein alternative form
10074-G5,C534883,,EPHB2,2048,protein,Homo sapiens,9606.0,10074-G5 inhibits the reaction [EPHB2 protein modified form results in increased expression of AR protein]
10074-G5,C534883,,EPHB2,2048,protein,Homo sapiens,9606.0,10074-G5 inhibits the reaction [EPHB2 protein modified form results in increased expression of MYC protein]
10074-G5,C534883,,MAX,4149,protein,,,10074-G5 affects the folding of and results in decreased activity of [MYC protein binds to MAX protein]
10074-G5,C534883,,MAX,4149,protein,,,10074-G5 inhibits the reaction [MYC protein binds to MAX protein]
10074-G5,C534883,,MYC,4609,protein,Homo sapiens,9606.0,10074-G5 affects the reaction [MYC protein results in increased expression of AR protein]
10074-G5,C534883,,MYC,4609,protein,Homo sapiens,9606.0,10074-G5 analog results in decreased expression of MYC protein
10074-G5,C534883,,MYC,4609,protein,Homo sapiens,9606.0,10074-G5 inhibits the reaction [EPHB2 protein modified form results in increased expression of MYC protein]
10074-G5,C534883,,MYC,4609,protein,Homo sapiens,9606.0,10074-G5 results in decreased activity of MYC protein
10074-G5,C534883,,MYC,4609,protein,Homo sapiens,9606.0,10074-G5 results in decreased expression of MYC protein
10074-G5,C534883,,MYC,4609,protein,,,10074-G5 affects the folding of and results in decreased activity of [MYC protein binds to MAX protein]
10074-G5,C534883,,MYC,4609,protein,,,10074-G5 inhibits the reaction [MYC protein binds to MAX protein]
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,FOS,2353,protein,Mus musculus,10090.0,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone inhibits the reaction [Valproic Acid inhibits the reaction [Kainic Acid results in increased expression of FOS protein]]"
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,KCNQ1,3784,protein,,,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone results in decreased activity of KCNQ1 protein"
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,KCNQ2,3785,protein,Homo sapiens,9606.0,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone results in decreased activity of KCNQ2 protein"
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,KCNQ2,3785,protein,Mus musculus,10090.0,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone affects the reaction [[Potassium results in increased activity of KCNQ2 protein] which results in increased import of Thallium]"
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,KCNQ2,3785,protein,,,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone inhibits the reaction [[KCNQ2 protein binds to KCNQ3 protein] which results in increased transport of Thallium]"
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,KCNQ3,3786,protein,,,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone inhibits the reaction [[KCNQ2 protein binds to KCNQ3 protein] which results in increased transport of Thallium]"
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,35079-97-1,EPHX1,2052,gene,Homo sapiens,9606.0,"[EPHX1 gene SNP affects the metabolism of carbamazepine epoxide] which affects the chemical synthesis of 10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide"
"10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide",C004822,35079-97-1,EPHX1,2052,protein,Homo sapiens,9606.0,"[EPHX1 protein results in increased metabolism of carbamazepine epoxide] which results in increased chemical synthesis of 10,11-dihydro-10,11-dihydroxy-5H-dibenzazepine-5-carboxamide"
"10,11-dihydro-10-hydroxycarbamazepine",C039775,,ABCB1,5243,protein,Homo sapiens,9606.0,"ABCB1 protein results in increased transport of 10,11-dihydro-10-hydroxycarbamazepine"
"10,11-dihydro-10-hydroxycarbamazepine",C039775,,CYP2C19,1557,protein,,,"10,11-dihydro-10-hydroxycarbamazepine results in decreased activity of CYP2C19 protein"
"10,11-dihydro-5H-dibenzo(a,d)cycloheptene",C515697,,AR,367,protein,Rattus norvegicus,10116.0,"10,11-dihydro-5H-dibenzo(a,d)cycloheptene analog inhibits the reaction [Metribolone binds to AR protein]"
