ChemicalName,ChemicalID,PathwayName,PathwayID,PValue,CorrectedPValue,TargetMatchQty,TargetTotalQty,BackgroundMatchQty,BackgroundTotalQty
10074-G5,C534883,,Cyclin A:Cdk2-associated events at S phase entry,REACT:R-HSA-69656,1.45e-05,0.00116,2,4,71
10074-G5,C534883,,Cyclin E associated events during G1/S transition,REACT:R-HSA-69202,1.49e-05,0.00119,2,4,72
10074-G5,C534883,,G1/S Transition,REACT:R-HSA-69206,4.08e-05,0.00327,2,4,119
10074-G5,C534883,,Mitotic G1-G1/S phases,REACT:R-HSA-453279,5.9e-05,0.00472,2,4,143
10074-G5,C534883,,Pathways in cancer,KEGG:hsa05200,2.61e-06,0.000209,3,4,395
10074-G5,C534883,,Small cell lung cancer,KEGG:hsa05222,2.03e-05,0.00162,2,4,84
10074-G5,C534883,,S Phase,REACT:R-HSA-69242,4.88e-05,0.0039,2,4,130
10074-G5,C534883,,Transcriptional misregulation in cancer,KEGG:hsa05202,9.25e-05,0.0074,2,4,179
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Cholinergic synapse,KEGG:hsa04725,3.53e-11,2.93e-09,4,4,112
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Interaction between L1 and Ankyrins,REACT:R-HSA-445095,2.54e-06,0.000211,2,4,30
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,L1CAM interactions,REACT:R-HSA-373760,2.94e-05,0.00244,2,4,101
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Neuronal System,REACT:R-HSA-112316,1.8e-06,0.000149,3,4,349
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Potassium Channels,REACT:R-HSA-1296071,4.16e-08,3.45e-06,3,4,100
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,Voltage gated Potassium channels,REACT:R-HSA-1296072,3.41e-09,2.83e-07,3,4,44
"10,12-octadecadienoic acid",C094849,,AMPK signaling pathway,KEGG:hsa04152,2.08e-05,0.00164,2,3,120
"10,12-octadecadienoic acid",C094849,,"Fatty acid, triacylglycerol, and ketone body metabolism",REACT:R-HSA-535734,9.2e-05,0.00727,2,3,252
"10,12-octadecadienoic acid",C094849,,Huntington's disease,KEGG:hsa05016,5.39e-05,0.00426,2,3,193
"10,12-octadecadienoic acid",C094849,,PPAR signaling pathway,KEGG:hsa03320,7.45e-06,0.000589,2,3,72
10-(2-pyrazolylethoxy)camptothecin,C534422,,Alzheimer's disease,KEGG:hsa05010,1.41e-05,0.0013,2,2,171
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptosis,KEGG:hsa04210,9.2e-06,0.000846,2,2,138
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptosis,REACT:R-HSA-109581,1.43e-05,0.00132,2,2,172
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptosis - multiple species,KEGG:hsa04215,5.14e-07,4.73e-05,2,2,33
10-(2-pyrazolylethoxy)camptothecin,C534422,,Apoptotic cleavage of cellular proteins,REACT:R-HSA-111465,7.21e-07,6.63e-05,2,2,39
