ChemicalName,ChemicalID,PhenotypeName,PhenotypeID,CoMentionedTerms,Organism,OrganismID,Interaction,InteractionActionsAnatomyTerms,InferenceGeneSymbols
10074-G5,C534883,,ATP biosynthetic process,GO:0006754,,Homo sapiens,9606.0,10074-G5 analog results in decreased ATP biosynthetic process,decreases^phenotype
10074-G5,C534883,,ATP biosynthetic process,GO:0006754,,Homo sapiens,9606.0,10074-G5 analog results in decreased ATP biosynthetic process,decreases^phenotype
10074-G5,C534883,,ATP biosynthetic process,GO:0006754,,Homo sapiens,9606.0,10074-G5 results in decreased ATP biosynthetic process,decreases^phenotype
10074-G5,C534883,,ATP biosynthetic process,GO:0006754,,Homo sapiens,9606.0,10074-G5 results in decreased ATP biosynthetic process,decreases^phenotype
10074-G5,C534883,,cellular lipid biosynthetic process,GO:0097384,,Homo sapiens,9606.0,10074-G5 analog results in increased cellular lipid biosynthetic process,increases^phenotype
10074-G5,C534883,,cellular lipid biosynthetic process,GO:0097384,,Homo sapiens,9606.0,10074-G5 results in increased cellular lipid biosynthetic process,increases^phenotype
10074-G5,C534883,,cellular lipid biosynthetic process,GO:0097384,,Homo sapiens,9606.0,10074-G5 results in increased cellular lipid biosynthetic process,increases^phenotype
10074-G5,C534883,,myeloid cell differentiation,GO:0030099,,Homo sapiens,9606.0,10074-G5 analog results in increased myeloid cell differentiation,increases^phenotype
10074-G5,C534883,,myeloid cell differentiation,GO:0030099,,Homo sapiens,9606.0,10074-G5 results in increased myeloid cell differentiation,increases^phenotype
10074-G5,C534883,,negative regulation of mitotic cell cycle,GO:0045930,,Homo sapiens,9606.0,10074-G5 analog results in increased negative regulation of mitotic cell cycle,increases^phenotype
"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone",C112297,,transmission of nerve impulse,GO:0019226,,Rattus norvegicus,10116.0,"10,10-bis(4-pyridinylmethyl)-9(10H)-anthracenone results in increased transmission of nerve impulse",increases^phenotype
"10,12-octadecadienoic acid",C094849,,cellular metabolic process,GO:0044237,,Homo sapiens,9606.0,"10,12-octadecadienoic acid results in decreased cellular metabolic process",decreases^phenotype
"10,12-octadecadienoic acid",C094849,,fatty acid metabolic process,GO:0006631,Diquat^D004178^MESH,Mus musculus,10090.0,"[Diquat affects fatty acid metabolic process] which results in increased abundance of 10,12-octadecadienoic acid",affects^phenotype|increases^abundance
"10,12-octadecadienoic acid",C094849,,flagellated sperm motility,GO:0030317,"9,11-linoleic acid^C046938^MESH",Oryctolagus cuniculus,9986.0,"[9,11-linoleic acid co-treated with 10,12-octadecadienoic acid] results in decreased flagellated sperm motility",affects^cotreatment|decreases^phenotype
"10,12-octadecadienoic acid",C094849,,male gonad development,GO:0008584,"9,11-linoleic acid^C046938^MESH",Oryctolagus cuniculus,9986.0,"[9,11-linoleic acid co-treated with 10,12-octadecadienoic acid] results in decreased male gonad development",affects^cotreatment|decreases^phenotype
"10,12-octadecadienoic acid",C094849,,regulation of fatty acid metabolic process,GO:0019217,lard^C029310^MESH,Rattus norvegicus,10116.0,"[lard affects regulation of fatty acid metabolic process] which results in increased abundance of 10,12-octadecadienoic acid",affects^phenotype|increases^abundance
"10,12-octadecadienoic acid",C094849,,regulation of unsaturated fatty acid biosynthetic process,GO:2001279,"9,11-linoleic acid^C046938^MESH",Oryctolagus cuniculus,9986.0,"[9,11-linoleic acid co-treated with 10,12-octadecadienoic acid] affects regulation of unsaturated fatty acid biosynthetic process",affects^cotreatment|affects^phenotype
10-((3-hydroxy-4-methoxybenzylidene))-9(10H)-anthracenone,C476444,,release from viral latency,GO:0019046,,Homo sapiens,9606.0,10-((3-hydroxy-4-methoxybenzylidene))-9(10H)-anthracenone results in increased release from viral latency,increases^phenotype
10-((3-hydroxy-4-methoxybenzylidene))-9(10H)-anthracenone,C476444,,release from viral latency,GO:0019046,bryostatin 1^C046785^MESH,Homo sapiens,9606.0,bryostatin 1 promotes the reaction [10-((3-hydroxy-4-methoxybenzylidene))-9(10H)-anthracenone results in increased release from viral latency],increases^phenotype|increases^reaction
10-((3-hydroxy-4-methoxybenzylidene))-9(10H)-anthracenone,C476444,,release from viral latency,GO:0019046,prostratin^C070999^MESH,Homo sapiens,9606.0,prostratin promotes the reaction [10-((3-hydroxy-4-methoxybenzylidene))-9(10H)-anthracenone results in increased release from viral latency],increases^phenotype|increases^reaction
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,cell population proliferation,GO:0008283,cobaltous chloride^C018021^MESH|HCRT^3060^GENE,Rattus norvegicus,10116.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine analog inhibits the reaction [HCRT protein inhibits the reaction [cobaltous chloride results in decreased cell population proliferation]],decreases^phenotype|decreases^reaction
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,positive regulation of apoptotic process,GO:0043065,Tetradecanoylphorbol Acetate^D013755^MESH,Homo sapiens,9606.0,[10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine co-treated with Tetradecanoylphorbol Acetate] results in increased positive regulation of apoptotic process,affects^cotreatment|increases^phenotype
10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine,C553100,,positive regulation of megakaryocyte differentiation,GO:0045654,THPO^7066^GENE,Homo sapiens,9606.0,10-(4'-(N-diethylamino)butyl)-2-chlorophenoxazine inhibits the reaction [THPO protein results in increased positive regulation of megakaryocyte differentiation],decreases^reaction|increases^phenotype
